id,housetitle,address,quxian,shangquan,sqpinyin,money,lng,lat,geocode_status,community_type,population,built_year,area_m2,supply,price_per_m2,res_building_dist_deg,res_building_dist_m,res_building_area_m2,res_building_type
1,星海花园,深圳市南山区高新南七道104号,南山,粤海,粤海,996,113.916231,22.546877,OK,high_end,9265,2015,35599.45,1.49,279.9264218662403,0.00035349409344618714,39.23784437252677,204.20846020679045,yes
2,金地雅园,深圳市南山区科苑路22号,南山,粤海,粤海,247,113.93485,22.527444,OK,commodity_housing,9949,2018,20077.88,1.795,123.22370567394016,0.0003471933886305632,38.538466137992515,1833.3627951500926,commercial
3,华润豪庭,深圳市南山区高新南一道108号,南山,粤海,粤海,1516,113.935645,22.528029,OK,high_end,5747,2010,56636.18,1.474,267.77639420895207,0.0006092296675622256,67.62449309940705,1796.4187723762868,commercial
4,中海公馆,深圳市南山区高新南七道89号,南山,粤海,粤海,1290,113.918479,22.526518,OK,high_end,6556,2014,80754.49,1.302,159.75773894779192,0.00043297418853209925,48.06013492706302,910.7971738688893,commercial
5,万科苑,深圳市南山区高新南七道2号,南山,粤海,粤海,442,113.957109,22.52315,OK,high_end,3775,2016,23438.85,1.855,188.81699724000254,0.001915313882950306,212.59984100748397,199.84233048036336,yes
6,招商邸,深圳市南山区科苑路190号,南山,粤海,粤海,257,113.92981,22.530638,OK,commodity_housing,10989,2010,23131.33,1.705,111.4827893358836,0.00013338018166514812,14.805200164831442,975.9534577300415,dormitory
7,华侨城居,深圳市南山区南海大道188号,南山,粤海,粤海,2254,113.953239,22.518945,OK,high_end,9863,2013,94732.01,1.729,238.01267484957725,0.003908125038681518,433.80187929364854,76.14581166004973,yes
8,花样年家园,深圳市南山区高新南一道81号,南山,粤海,粤海,451,113.931195,22.526954,OK,high_end,3064,2013,21563.64,1.454,209.23222772633545,0.0004706545116650137,52.24265079481653,1744.062736444555,commercial
9,佳兆业名苑,深圳市南山区南海大道48号,南山,粤海,粤海,2424,113.929679,22.506525,OK,high_end,9184,2013,111495.97,1.71,217.41760112073052,0.00017303073757195435,19.20641187048693,323.37918097209547,apartments
10,龙光邸,深圳市南山区深圳湾口岸175号,南山,粤海,粤海,1849,113.92211,22.541586,OK,high_end,5731,2012,83755.75,1.732,220.8322387742924,0.00023443554345152368,26.02234532311913,456.1486591518379,apartments
11,卓越花园,深圳市南山区深圳湾口岸179号,南山,粤海,粤海,591,113.930124,22.507264,OK,commodity_housing,9938,2011,72273.28,1.457,81.77933887208667,0.0004501042657087788,49.96157349367445,506.9318819217452,apartments
12,华联雅园,深圳市南山区深圳湾口岸143号,南山,粤海,粤海,690,113.952473,22.531496,OK,commodity_housing,8116,2011,70857.07,1.853,97.45045604042124,0.003322134549822383,368.7569350302845,1034.5490659431252,yes
13,天悦豪庭,深圳市南山区高新南七道28号,南山,粤海,粤海,1404,113.935223,22.521598,OK,commodity_housing,8915,2018,112969.77,1.685,124.33826295572965,0.001048657808812404,116.40101677817684,8890.83478868139,yes
14,龙瑞公馆,深圳市南山区南海大道129号,南山,粤海,粤海,550,113.937297,22.539434,OK,commodity_housing,8450,2016,52434.5,1.273,104.94084866538824,0.0018047101091738323,200.3228221182954,674.6862326976155,yes
15,阳光苑,深圳市南山区高新南一道172号,南山,粤海,粤海,679,113.936653,22.539844,OK,commodity_housing,11901,2009,71074.73,1.45,95.54754673295112,0.002015397286739855,223.7090988281239,501.785548714785,yes
16,翠湖邸,深圳市南山区高新南七道12号,南山,粤海,粤海,1336,113.935174,22.532709,OK,commodity_housing,4495,2010,90301.9,1.418,148.02474579046725,0.0008241982360380137,91.48600420021953,4355.321361040733,yes
17,碧海居,深圳市南山区高新南七道160号,南山,粤海,粤海,1903,113.934844,22.541922,OK,high_end,8855,2012,110826.59,1.344,171.73423081368347,0.000609325792585733,67.63516297701636,642.3331200839934,yes
18,金湾家园,深圳市南山区深圳湾口岸116号,南山,粤海,粤海,1540,113.919313,22.522586,OK,high_end,3202,2013,56965.45,1.345,270.47096345698435,0.00013719805127244457,15.228983691241346,792.5714571507657,apartments
19,银湖名苑,深圳市南山区高新南一道148号,南山,粤海,粤海,1349,113.946107,22.526839,OK,high_end,3659,2011,52595.89,1.573,256.67242986570267,0.0002756429074376247,30.59636272557634,3377.256651006998,yes
20,玉泉邸,深圳市南山区高新南七道185号,南山,粤海,粤海,1001,113.932012,22.524139,OK,high_end,4959,2012,58673.53,1.762,170.62814162189898,0.00030747896038595606,34.13016460284112,1155.1341285900112,commercial
21,宝安花园,深圳市南山区科苑路129号,南山,粤海,粤海,1190,113.954585,22.544935,OK,commodity_housing,9287,2010,101722.22,1.533,117.07554048492045,0.001804103842717536,200.2555265416465,2374.557440435819,commercial
22,瑞景雅园,深圳市南山区高新南一道148号,南山,粤海,粤海,1395,113.955945,22.541872,OK,high_end,10158,2016,53902.98,1.41,258.8933518305359,0.00318202882250232,353.20519929775753,1578.6181180214573,commercial
23,盛世豪庭,深圳市南山区深圳湾口岸146号,南山,粤海,粤海,264,113.951568,22.513775,OK,commodity_housing,11445,2015,20919.71,1.605,126.4451238375639,0.003747483758117736,415.9706971510687,145.73474292803206,yes
24,雅居公馆,深圳市南山区深圳湾口岸48号,南山,粤海,粤海,409,113.943167,22.541014,OK,commodity_housing,3956,2017,42426.93,1.627,96.607436124776,0.0001261215996457084,13.999497560673632,401.02558036813235,yes
25,锦绣苑,深圳市南山区深圳湾口岸51号,南山,粤海,粤海,1329,113.934599,22.509815,OK,high_end,7555,2011,70881.41,1.582,187.56927279083763,0.0005244594424711482,58.214998114297444,2425.0914861391543,commercial
26,绿景邸,深圳市南山区高新南七道61号,南山,粤海,粤海,1187,113.94876,22.516912,OK,commodity_housing,7893,2017,84510.34,1.77,140.4917295550332,0.002834947446739226,314.6791665880541,2997.313644264775,yes
27,振业居,深圳市南山区南海大道37号,南山,粤海,粤海,1222,113.918984,22.528081,OK,commodity_housing,5205,2010,115392.86,1.749,105.9111090178811,0.00038870212063882336,43.14593539090939,1711.305684008517,yes
28,金成家园,深圳市南山区深圳湾口岸160号,南山,粤海,粤海,2259,113.945794,22.522781,OK,high_end,3606,2015,116362.0,1.832,194.16733381043787,0.0006353067538308662,70.51904967522614,20.332366076699284,yes
29,星海名苑,深圳市南山区科苑路127号,南山,粤海,粤海,777,113.940267,22.520858,OK,commodity_housing,9709,2009,89602.98,1.542,86.8023545639538,0.0005656581471331535,62.78805433178003,1948.7625024960703,commercial
30,金地邸,深圳市南山区科苑路26号,南山,粤海,粤海,784,113.910596,22.525177,OK,high_end,11096,2009,33662.13,1.709,232.92299653618616,0.0014754593217001597,163.77598470871771,463.1161374103534,apartments
31,华润花园,深圳市南山区高新南七道98号,南山,粤海,粤海,1688,113.943953,22.505433,OK,high_end,9655,2010,59678.38,1.62,282.992572342599,0.000794369016801328,88.17496086494741,489.7468933117118,yes
32,中海雅园,深圳市南山区科苑路58号,南山,粤海,粤海,665,113.94845,22.537015,OK,commodity_housing,7146,2015,66559.8,1.684,100.05788764897991,0.0006162770934446653,68.40675737235786,1549.8221207616568,commercial
33,万科豪庭,深圳市南山区深圳湾口岸116号,南山,粤海,粤海,528,113.936027,22.528199,OK,commodity_housing,6124,2015,47154.29,1.779,112.008561312961,0.0007028939501141224,78.02122846266758,2097.6382237099097,commercial
34,招商公馆,深圳市南山区高新南一道145号,南山,粤海,粤海,432,113.918374,22.538354,OK,commodity_housing,10987,2008,33274.54,1.782,130.02165729259664,0.0006708037196787743,74.45921288434396,5741.862416872308,yes
35,华侨城苑,深圳市南山区南海大道117号,南山,粤海,粤海,1079,113.925233,22.535207,OK,commodity_housing,4081,2011,111521.37,1.465,96.78511514101822,0.00029259210762929485,32.477723946851725,784.494203842582,yes
36,花样年邸,深圳市南山区高新南一道86号,南山,粤海,粤海,790,113.925657,22.516953,OK,commodity_housing,3580,2018,81172.07,1.452,97.34116926508102,0.00017963273252846575,19.9392333106597,361.98725177556565,apartments
37,佳兆业居,深圳市南山区深圳湾口岸23号,南山,粤海,粤海,1217,113.938237,22.528294,OK,high_end,9617,2013,69161.59,1.484,175.98028048650227,0.00011664842712733835,12.947975411134557,3198.8239419923457,commercial
38,龙光家园,深圳市南山区南海大道69号,南山,粤海,粤海,669,113.960374,22.535904,OK,commodity_housing,5849,2012,46089.36,1.639,145.3405415655638,0.00020338590114703264,22.575835027320622,898.9726861657261,apartments
39,卓越名苑,深圳市南山区高新南七道33号,南山,粤海,粤海,1222,113.928049,22.512219,OK,commodity_housing,9303,2013,114023.02,1.545,107.17189483445654,0.00010824357947782677,12.01503732203877,731.2379449007638,apartments
40,华联邸,深圳市南山区高新南七道29号,南山,粤海,粤海,1675,113.920245,22.531962,OK,high_end,8387,2014,58610.26,1.777,285.8025962934096,0.00026492984992300037,29.40721334145304,938.2491685838371,apartments
41,天悦花园,深圳市南山区高新南一道105号,南山,粤海,粤海,607,113.937558,22.529191,OK,commodity_housing,11967,2014,58539.66,1.609,103.8437198624968,0.000962902883452904,106.88222006327234,5936.6454748766455,commercial
42,龙瑞雅园,深圳市南山区高新南七道138号,南山,粤海,粤海,353,113.915605,22.528483,OK,commodity_housing,3412,2012,23918.63,1.967,147.73063860641733,0.00017269137934245558,19.16874310701257,580.0126203838786,yes
43,阳光豪庭,深圳市南山区深圳湾口岸12号,南山,粤海,粤海,1260,113.920887,22.535363,OK,high_end,8073,2013,45001.64,1.548,280.06749108145834,0.00047741603240218113,52.99317959664211,265.69829391264756,yes
44,翠湖公馆,深圳市南山区南海大道86号,南山,粤海,粤海,684,113.916034,22.537072,OK,high_end,5914,2014,30312.39,1.742,225.78785586717856,9.738214163369957e-05,10.809417721340653,716.546134195834,apartments
45,碧海苑,深圳市南山区深圳湾口岸69号,南山,粤海,粤海,1004,113.934175,22.530675,OK,commodity_housing,3717,2013,87676.99,1.49,114.51179604402634,0.0011107688265262125,123.29533974440959,551.5584288855613,yes
46,金湾邸,深圳市南山区深圳湾口岸181号,南山,粤海,粤海,2556,113.932532,22.536866,OK,high_end,8588,2012,95237.45,1.675,268.4427214191831,0.0002639271729158334,29.295916193657508,330.8530186878521,dormitory
47,银湖居,深圳市南山区深圳湾口岸7号,南山,粤海,粤海,832,113.933389,22.528056,OK,high_end,7846,2019,34299.17,1.657,242.73270949743915,0.0005424564453140597,60.21266542986063,2012.5738941827333,commercial
48,玉泉家园,深圳市南山区高新南一道136号,南山,粤海,粤海,1474,113.929428,22.530791,OK,high_end,9938,2015,90624.22,1.249,162.72565711277878,0.00028150624285959935,31.24719295741553,975.9534577300415,dormitory
49,宝安名苑,深圳市南山区深圳湾口岸108号,南山,粤海,粤海,818,113.927695,22.535372,OK,commodity_housing,4324,2014,95337.82,1.426,85.84505016890681,0.001112927195012624,123.53491864640127,454.6574512292962,yes
50,瑞景邸,深圳市南山区高新南七道61号,南山,粤海,粤海,177,113.923913,22.523738,OK,commodity_housing,7268,2013,21135.36,1.481,83.94122929772861,0.0008236124389883483,91.42098072770666,803.1197267180426,apartments
51,盛世花园,深圳市南山区深圳湾口岸134号,南山,粤海,粤海,1553,113.944202,22.509304,OK,high_end,4214,2015,67771.49,1.771,229.25551819458138,0.0009411967680100205,104.47284124911228,89.70641962609989,yes
52,雅居雅园,深圳市南山区高新南七道164号,南山,粤海,粤海,1508,113.943806,22.502073,OK,high_end,4852,2014,52268.64,1.667,288.6964995335394,0.0008551636454821888,94.92316464852296,474.28872442910864,yes
53,锦绣豪庭,深圳市南山区南海大道12号,南山,粤海,粤海,1278,113.909399,22.518991,OK,commodity_housing,6486,2012,119583.14,1.631,106.8941281965454,0.0004788475879472858,53.152082262148724,532.3189497539829,yes
54,绿景公馆,深圳市南山区科苑路136号,南山,粤海,粤海,764,113.936566,22.527584,OK,commodity_housing,10575,2012,82013.26,1.366,93.16848118066329,0.0005323510642983535,59.09096813711723,2097.6382237099097,commercial
55,振业苑,深圳市南山区高新南七道157号,南山,粤海,粤海,913,113.925118,22.541016,OK,commodity_housing,9042,2010,89816.17,1.522,101.66693314004294,0.0022074370655366096,245.02551427456368,308.35582125479766,yes
56,金成邸,深圳市南山区科苑路56号,南山,粤海,粤海,890,113.936429,22.529584,OK,commodity_housing,8713,2011,61663.91,1.549,144.34235862848917,0.0002347357043134085,26.055663178788343,5936.6454748766455,commercial
57,星海居,深圳市南山区南海大道86号,南山,粤海,粤海,2839,113.946034,22.517194,OK,high_end,5193,2013,118727.61,1.606,239.11960730282027,0.0023385483596981573,259.57886792649543,2997.313644264775,yes
58,金地家园,深圳市南山区高新南七道197号,南山,粤海,粤海,360,113.942603,22.513997,OK,high_end,4633,2013,23682.19,1.654,152.05079472404958,0.0009055053173679249,100.51109022783967,47.57146475481352,yes
59,华润名苑,深圳市南山区南海大道51号,南山,粤海,粤海,2283,113.962906,22.52795,OK,high_end,7809,2018,104964.74,1.584,217.58162029651402,0.0004047128464127199,44.92312595181191,626.4431811609279,apartments
60,中海邸,深圳市南山区科苑路162号,南山,粤海,粤海,1821,113.934102,22.533732,OK,high_end,7976,2015,95699.91,1.228,190.3008723037961,0.0014848571956981279,164.8191487224922,303.94646546647573,yes
61,万科花园,深圳市南山区深圳湾口岸85号,南山,粤海,粤海,349,113.911981,22.531467,OK,commodity_housing,11580,2014,28840.82,1.76,121.29691279963453,0.00019246912221718778,21.364072566107843,633.5910898269997,apartments
62,招商雅园,深圳市南山区高新南一道179号,南山,粤海,粤海,1149,113.920562,22.510689,OK,high_end,9881,2017,55058.76,1.554,208.83660676495984,7.4496511587559e-05,8.269112786219049,648.1046038668086,apartments
63,华侨城豪庭,深圳市南山区高新南七道138号,南山,粤海,粤海,1204,113.943036,22.522476,OK,commodity_housing,7637,2016,82208.67,1.883,146.46644365603495,0.0005567503370010053,61.799287407111585,1700.728298065511,yes
64,花样年公馆,深圳市南山区深圳湾口岸126号,南山,粤海,粤海,754,113.947339,22.521867,OK,commodity_housing,8971,2013,65913.58,1.897,114.48326657950088,0.0007172846521413246,79.61859638768702,122.57957405183016,warehouse
65,佳兆业苑,深圳市南山区高新南七道184号,南山,粤海,粤海,1062,113.930503,22.523001,OK,high_end,9238,2007,60030.05,1.619,177.01009085239477,3.144590070758208e-05,3.490494978541611,2104.7878119033226,apartments
66,龙光邸,深圳市南山区深圳湾口岸5号,南山,粤海,粤海,2153,113.914194,22.540901,OK,high_end,7188,2020,117311.03,1.582,183.57735988594808,0.0003652300656995404,40.540537292648985,3188.360788533189,apartments
67,卓越居,深圳市南山区科苑路47号,南山,粤海,粤海,337,113.929525,22.536047,OK,commodity_housing,5593,2009,32874.84,1.398,102.51079352760203,0.000622648609064821,69.11399560619513,3217.979985688909,yes
68,华联家园,深圳市南山区南海大道99号,南山,粤海,粤海,812,113.933411,22.526352,OK,commodity_housing,5878,2013,57728.6,1.202,140.78107749249108,0.0005212289915102748,57.856418057640504,1975.0716061803917,commercial
69,天悦名苑,深圳市南山区高新南一道56号,南山,粤海,粤海,1165,113.937344,22.533373,OK,high_end,11150,2013,73126.58,1.632,159.3512043766862,0.0005000601232066246,55.506673675935325,1316.105575143807,dormitory
70,龙瑞邸,深圳市南山区高新南一道115号,南山,粤海,粤海,2659,113.947894,22.542281,OK,high_end,5797,2014,94961.62,1.218,280.0822471612085,0.00010208140260820518,11.331035689510776,8247.026776159775,commercial
71,阳光花园,深圳市南山区南海大道13号,南山,粤海,粤海,691,113.935357,22.53553,OK,high_end,4296,2014,41144.8,1.396,167.96431977288768,0.000336865351843839,37.392054054666126,1207.2261579962308,apartments
72,翠湖雅园,深圳市南山区科苑路111号,南山,粤海,粤海,1610,113.919179,22.517452,OK,high_end,3232,2010,69844.22,1.252,230.56598127278215,0.0005619417800479327,62.37553758532052,131.2126475259169,yes
73,碧海豪庭,深圳市南山区深圳湾口岸198号,南山,粤海,粤海,1720,113.934654,22.515918,OK,high_end,5739,2009,84591.72,1.542,203.41450888467693,0.00033616709010980385,37.31454700218823,2080.7037456934927,commercial
74,金湾公馆,深圳市南山区南海大道131号,南山,粤海,粤海,788,113.929771,22.523903,OK,commodity_housing,4733,2010,56535.68,1.493,139.55722624853024,5.83531698832337e-05,6.477201857038941,738.0351246064199,apartments
75,银湖苑,深圳市南山区高新南一道62号,南山,粤海,粤海,935,113.923645,22.526237,OK,commodity_housing,8966,2016,101707.21,1.355,91.96213111730461,0.00042645836964583147,47.33687903068729,613.5360284999043,yes
76,玉泉邸,深圳市南山区高新南一道20号,南山,粤海,粤海,995,113.94908,22.521307,OK,commodity_housing,9316,2014,96949.29,1.576,102.65754654829706,0.0011123005395077257,123.46535988535756,122.57957405183016,warehouse
77,宝安居,深圳市南山区南海大道134号,南山,粤海,粤海,415,113.935153,22.531212,OK,commodity_housing,4917,2013,35436.27,1.489,117.281260278611,0.0014660894642955324,162.7359305368041,1482.6785743906141,commercial
78,瑞景家园,深圳市南山区深圳湾口岸73号,南山,粤海,粤海,655,113.933052,22.53122,OK,high_end,5219,2014,40173.05,1.611,163.18021668639852,0.0004054368264677857,45.00348773792422,551.5584288855613,yes
79,盛世名苑,深圳市南山区深圳湾口岸120号,南山,粤海,粤海,1141,113.936071,22.511357,OK,commodity_housing,10984,2017,105072.75,1.648,108.59628050551419,0.0007359471082140928,81.6901290117643,3253.25268963537,commercial
80,雅居邸,深圳市南山区高新南一道105号,南山,粤海,粤海,2600,113.940731,22.527673,OK,high_end,5560,2015,94112.06,1.545,276.2743165137408,0.0007188188333584323,79.78889050278597,514.3684343037455,apartments
81,锦绣花园,深圳市南山区科苑路89号,南山,粤海,粤海,1646,113.935071,22.505613,OK,high_end,10546,2015,83375.86,1.745,197.42948734447418,0.00021466249085337836,23.827536484724998,689.5460455974885,apartments
82,绿景雅园,深圳市南山区南海大道153号,南山,粤海,粤海,876,113.929827,22.516451,OK,commodity_housing,9943,2012,66267.98,1.381,132.3326566123376,5.563385876302239e-05,6.175358322695486,1006.8757721762097,apartments
83,振业豪庭,深圳市南山区高新南一道42号,南山,粤海,粤海,767,113.928262,22.536646,OK,commodity_housing,7018,2016,74284.93,1.459,103.2971050138739,6.367721442723445e-05,7.068170801423024,206.6847120229469,yes
84,金成公馆,深圳市南山区南海大道97号,南山,粤海,粤海,1967,113.94925,22.545066,OK,high_end,8408,2014,73346.11,1.736,268.2895816836796,0.0005616571424755423,62.3439428147852,2380.9643073640555,commercial
85,星海苑,深圳市南山区高新南七道109号,南山,粤海,粤海,2941,113.929179,22.506992,OK,high_end,7612,2014,107676.56,1.405,273.1885957008019,3.576734692097902e-05,3.9701755082286714,522.7852704826767,apartments
86,金地邸,深圳市南山区科苑路155号,南山,粤海,粤海,903,113.942742,22.535988,OK,high_end,6719,2012,34991.74,1.338,258.33788525895994,0.0005536625520643674,61.45654327914478,2366.145614354318,yes
87,华润居,深圳市南山区科苑路46号,南山,粤海,粤海,461,113.922723,22.51294,OK,commodity_housing,8779,2016,38159.77,1.745,120.83742563362844,0.00021897151071503207,24.30583768936856,1065.256249411741,apartments
88,中海家园,深圳市南山区高新南七道100号,南山,粤海,粤海,554,113.915843,22.511121,OK,commodity_housing,3984,2018,45601.55,1.636,121.50740336811751,0.000547522609105281,60.77500961068619,2733.597346455719,commercial
89,万科名苑,深圳市南山区南海大道11号,南山,粤海,粤海,928,113.954302,22.517191,OK,high_end,11795,2011,57443.54,1.537,161.5981598233181,0.005760775132815403,639.4460397425097,76.14581166004973,yes
90,招商邸,深圳市南山区高新南一道168号,南山,粤海,粤海,2993,113.931979,22.528964,OK,high_end,6417,2015,103889.81,1.275,288.12628239260584,0.0011197196958129827,124.28888623524108,705.32610480103,yes
91,华侨城花园,深圳市南山区科苑路75号,南山,粤海,粤海,1705,113.926728,22.521339,OK,high_end,7212,2017,80372.15,1.269,212.17568763054416,0.0003205444165317952,35.58043023502927,1012.8681502932898,apartments
92,花样年雅园,深圳市南山区高新南一道179号,南山,粤海,粤海,1732,113.946542,22.521932,OK,high_end,11609,2012,111845.47,1.727,154.92700053651575,0.0012162980321007233,135.0090815631803,20.332366076699284,yes
93,佳兆业豪庭,深圳市南山区科苑路49号,南山,粤海,粤海,935,113.93518,22.544173,OK,commodity_housing,9320,2016,98049.57,1.367,95.4068049856768,0.00012116371919970813,13.449172831167603,2009.9618213908773,yes
95,卓越苑,深圳市南山区高新南一道18号,南山,粤海,粤海,1380,113.933449,22.526941,OK,high_end,5079,2018,66823.18,1.575,206.65889211602538,0.00021897012685279004,24.305684080659695,1975.0716061803917,commercial
96,华联邸,深圳市南山区高新南七道129号,南山,粤海,粤海,763,113.929537,22.547233,OK,commodity_housing,9645,2013,64076.27,1.44,119.17482319157526,0.0003917514573823842,43.48441176944465,679.1566336087005,apartments
97,天悦居,深圳市南山区科苑路135号,南山,粤海,粤海,1055,113.933931,22.529824,OK,high_end,9305,2009,60873.42,1.215,173.42288960492854,0.0013108359427545047,145.50278964575003,551.5584288855613,yes
98,龙瑞家园,深圳市南山区南海大道67号,南山,粤海,粤海,659,113.934589,22.527362,OK,high_end,8954,2011,43107.48,1.603,152.95658066315463,0.00020031723924826664,22.235213556557596,1833.3627951500926,commercial
99,阳光名苑,深圳市南山区科苑路7号,南山,粤海,粤海,1044,113.946851,22.517873,OK,commodity_housing,5538,2013,116264.93,1.889,89.87572941443995,0.0014072439816193365,156.20408195974636,2997.313644264775,yes
100,翠湖邸,深圳市南山区科苑路2号,南山,粤海,粤海,795,113.921203,22.512695,OK,high_end,7242,2012,32277.69,1.726,246.43883454213798,0.000745428104551915,82.74251960526256,6722.314726057331,yes
101,碧海花园,深圳市南山区南海大道53号,南山,粤海,粤海,472,113.949807,22.518685,OK,high_end,7566,2011,23422.81,1.839,201.77882173219135,0.0027129743925563767,301.1401575737578,2997.313644264775,yes
