id,housetitle,address,quxian,shangquan,sqpinyin,money,lng,lat,geocode_status,community_type,population,built_year,area_m2,supply,price_per_m2,res_building_dist_deg,res_building_dist_m,res_building_area_m2,res_building_type,pop_by_area,density_adj,population_est
103,银湖豪庭,深圳市南山区科苑路29号,南山,粤海,粤海,505,113.942448,22.529059,OK,commodity_housing,10368,2011,33935.61,1.884,148.90815264924865,7.839365772541014e-05,8.701696007520525,438.9494103064029,residential,2117,1.0,2319
104,玉泉公馆,深圳市南山区科苑路17号,南山,粤海,粤海,2635,113.938602,22.53472,OK,high_end,9981,2018,111429.88,1.271,236.47747132713803,0.000407360550666,45.21702112392773,3150.9813837301704,commercial,6951,0.7,5331
105,宝安苑,深圳市南山区深圳湾口岸190号,南山,粤海,粤海,962,113.923467,22.535811,OK,commodity_housing,9136,2014,69427.39,1.544,138.6674874224807,0.0005398041046364,59.91825561464621,1703.6335192861734,yes,4331,1.0,4745
106,瑞景邸,深圳市南山区科苑路29号,南山,粤海,粤海,1146,113.933694,22.527844,OK,commodity_housing,8941,2016,93803.36,1.25,122.22064766264717,0.0002784594173246,30.90899532304064,2012.5738941827333,commercial,5852,1.0,6412
107,盛世居,深圳市南山区深圳湾口岸56号,南山,粤海,粤海,984,113.928794,22.53318,OK,commodity_housing,4333,2014,67605.04,1.598,145.57808175273306,0.000626153029689,69.50298629548504,1521.74658087586,yes,4217,1.0,4621
108,雅居家园,深圳市南山区高新南一道154号,南山,粤海,粤海,1529,113.935191,22.528852,OK,commodity_housing,4762,2015,104152.97,1.708,146.86654189064353,9.571530897058192e-05,10.624399295734593,1838.2286236236075,commercial,6497,1.0,7119
109,锦绣名苑,深圳市南山区深圳湾口岸108号,南山,粤海,粤海,871,113.925483,22.529554,OK,commodity_housing,4639,2013,63482.73,1.348,137.33716223719398,0.0002767532739737,30.719613411090336,1898.287441366088,apartments,3960,1.0,4339
110,绿景邸,深圳市南山区深圳湾口岸17号,南山,粤海,粤海,808,113.932405,22.520835,OK,commodity_housing,9667,2019,56097.39,1.255,144.211950282357,0.0006593900768271,73.19229852781295,8077.861165124033,commercial,3499,1.0,3834
111,振业小区,深圳市南山区前海路143号,南山,南山,南山,134,113.927336,22.526982,OK,urban_village,4150,2005,28241.9,1.188,47.58409531590063,0.0002111478155181,23.43740752251355,685.0637566767539,yes,1761,1.8,3472
112,金成苑,深圳市南山区南新路86号,南山,南山,南山,154,113.917603,22.528936,OK,commodity_housing,2046,2007,10296.6,0.953,149.95474496960844,0.00034429277894,38.216498462340944,747.0871839131352,apartments,642,1.0,703
113,星海园,深圳市南山区学府路146号,南山,南山,南山,210,113.918644,22.529622,OK,urban_village,10407,1999,45165.96,0.885,46.55106627473283,0.0001404475722961,15.589680524875732,1458.9801105005358,apartments,2817,1.8,5555
114,金地居,深圳市南山区学府路37号,南山,南山,南山,306,113.903961,22.528008,OK,commodity_housing,3182,2005,26964.26,0.999,113.67433186908605,0.0010040993552588,111.45502843373258,2859.41712070744,yes,1682,1.0,1843
115,华润新区,深圳市南山区桂庙路170号,南山,南山,南山,86,113.908472,22.528166,OK,urban_village,9040,2001,22707.82,1.132,38.004202746968296,0.0005156364694105,57.235648104573016,2038.8832088694649,apartments,1416,1.8,2792
116,中海家园,深圳市南山区学府路123号,南山,南山,南山,61,113.924562,22.523573,OK,urban_village,5641,2000,17856.39,0.711,34.59909724799314,0.0005807102904031,64.45884223474839,212.0809084509768,yes,1114,1.8,2197
117,万科大厦,深圳市南山区前海路133号,南山,南山,南山,646,113.925715,22.5299,OK,commodity_housing,3771,2013,59172.34,1.061,109.24367475171336,0.0003062600074719,33.99486082938765,1026.408904166708,yes,3691,1.0,4044
118,招商村,深圳市南山区南头街181号,南山,南山,南山,67,113.917992,22.529927,OK,urban_village,3565,1999,17030.09,1.029,39.72771336177237,0.0002866895001177,31.82253451307059,1575.8309914720994,apartments,1062,1.8,2094
119,华侨城花园,深圳市南山区学府路62号,南山,南山,南山,79,113.927383,22.529275,OK,urban_village,4228,1998,16852.63,0.851,46.97795768905412,0.0005064420536851,56.21506795904677,416.4351016916935,dormitory,1051,1.8,2072
120,花样年小区,深圳市南山区桂庙路110号,南山,南山,南山,251,113.915219,22.527597,OK,commodity_housing,6867,2001,20046.93,1.452,125.4752654294658,0.0005662122925184,62.84956446954346,1058.9311048828945,apartments,1250,1.0,1369
121,佳兆业苑,深圳市南山区南新路61号,南山,南山,南山,846,113.918471,22.533855,OK,commodity_housing,2053,2004,58393.34,1.13,144.9426598236649,0.0007575977455646,84.09334975767959,720.3949275827702,yes,3643,1.0,3992
122,龙光园,深圳市南山区桂庙路120号,南山,南山,南山,672,113.917272,22.541312,OK,commodity_housing,4109,2004,59809.46,1.138,112.4366523750934,0.0008246786635788,91.53933165724816,1232.479945542152,yes,3731,1.0,4088
123,卓越居,深圳市南山区学府路153号,南山,南山,南山,321,113.91799,22.529233,OK,commodity_housing,3640,1998,28340.83,0.764,113.36737798312578,0.0002112631840571,23.450213430346547,747.0871839131352,apartments,1768,1.0,1937
124,华联新区,深圳市南山区南新路146号,南山,南山,南山,40,113.918467,22.529376,OK,urban_village,3354,2003,9648.72,0.603,42.39285732124375,0.0001086322234457,12.058176802476718,719.4606998749197,apartments,601,1.8,1184
125,天悦家园,深圳市南山区学府路80号,南山,南山,南山,105,113.922229,22.532361,OK,urban_village,3991,2006,24265.17,1.119,43.347747973842544,0.0006630157951991,73.59475326711039,553.6612754213106,yes,1513,1.8,2983
126,龙瑞大厦,深圳市南山区学府路166号,南山,南山,南山,29,113.90782,22.514299,OK,urban_village,4104,2002,10638.14,1.114,27.6458523457146,0.0002409814183751,26.74893743963693,4351.288724895258,retail,663,1.8,1307
127,阳光村,深圳市南山区桂庙路12号,南山,南山,南山,58,113.925228,22.547999,OK,urban_village,8906,2001,15002.91,0.601,38.90454337599392,0.0001793851303818,19.911749472388337,397.6366155772588,apartments,936,1.8,1845
128,翠湖花园,深圳市南山区前海路192号,南山,南山,南山,579,113.92431,22.530253,OK,commodity_housing,3690,2003,59021.68,0.979,98.1862506744912,0.0004496430936691,49.91038339727169,1044.688806718421,apartments,3682,1.0,4034
129,碧海小区,深圳市南山区前海路148号,南山,南山,南山,356,113.901382,22.525735,OK,commodity_housing,3435,2007,40896.34,1.16,87.17568095934755,0.0014556190681699,161.57371656685908,470.2185996737254,yes,2551,1.0,2795
130,金湾苑,深圳市南山区学府路50号,南山,南山,南山,83,113.917432,22.52862,OK,urban_village,3440,2001,31465.39,0.884,26.44801151396996,0.0001853877147118,20.578036333012875,550.0440568806213,apartments,1963,1.8,3871
131,银湖园,深圳市南山区学府路58号,南山,南山,南山,384,113.932845,22.52908,OK,commodity_housing,4428,2000,27947.84,0.639,137.50590631852086,0.0010890433777938,120.88381493511346,705.32610480103,yes,1743,1.0,1909
132,玉泉居,深圳市南山区桂庙路157号,南山,南山,南山,798,113.921497,22.530023,OK,commodity_housing,5356,2004,57103.79,0.661,139.79468421230962,0.0003219840989894,35.74023498783298,388.8641265685061,apartments,3562,1.0,3903
133,宝安新区,深圳市南山区桂庙路187号,南山,南山,南山,179,113.91247,22.547632,OK,urban_village,8058,2007,41534.28,0.82,43.28175167434214,0.0017195971269537,190.875281091864,161.87367331197018,yes,2591,1.8,5109
134,瑞景家园,深圳市南山区南头街25号,南山,南山,南山,66,113.934308,22.526303,OK,urban_village,8026,2007,21877.62,0.738,30.32761760062708,0.0002417698792151,26.8364565928787,2446.4849329353656,commercial,1364,1.8,2690
135,盛世大厦,深圳市南山区南新路199号,南山,南山,南山,712,113.915294,22.517919,OK,commodity_housing,2984,2004,53168.4,1.011,133.96452912508363,0.0002089929723724,23.19821993334025,711.0463244499279,yes,3317,1.0,3634
136,雅居村,深圳市南山区南头街126号,南山,南山,南山,125,113.915974,22.527943,OK,urban_village,8055,2002,33995.7,1.519,37.03805878781375,0.0002896165832798,32.14744074406856,1058.9311048828945,apartments,2120,1.8,4181
137,锦绣花园,深圳市南山区桂庙路72号,南山,南山,南山,275,113.914271,22.521299,OK,commodity_housing,7109,2000,24948.12,1.269,110.32727242801587,0.0003981258609773,44.19197056848179,555.7289514041845,apartments,1556,1.0,1705
138,绿景小区,深圳市南山区南头街33号,南山,南山,南山,739,113.903399,22.533302,OK,commodity_housing,3389,2000,58684.39,1.114,125.98887002951452,0.0013902813451749,154.32122931441816,349.1083108945813,yes,3661,1.0,4011
139,振业苑,深圳市南山区前海路161号,南山,南山,南山,89,113.937095,22.524145,OK,urban_village,9131,1998,22017.39,0.899,40.45389335795298,0.0007240209232382,80.3663224794441,988.0729353760864,commercial,1373,1.8,2707
140,金成园,深圳市南山区桂庙路116号,南山,南山,南山,306,113.9178,22.529921,OK,commodity_housing,2001,2002,35780.59,1.13,85.77559741082949,9.461428406323424e-05,10.502185531019002,1575.8309914720994,apartments,2232,1.0,2445
141,星海居,深圳市南山区学府路61号,南山,南山,南山,160,113.913559,22.535522,OK,commodity_housing,6238,2009,18407.81,0.767,87.31974882340802,0.0005313615094918,58.9811275535906,730.7810566135142,apartments,1148,1.0,1257
142,金地新区,深圳市南山区南新路92号,南山,南山,南山,138,113.917812,22.529331,OK,commodity_housing,5144,2005,10702.51,0.925,129.63423636156415,0.0001043782135438,11.58598170337106,747.0871839131352,apartments,667,1.0,730
143,华润家园,深圳市南山区南头街188号,南山,南山,南山,106,113.920385,22.522923,OK,urban_village,2607,2011,25847.83,0.871,41.08944237991312,0.0001505279391494,16.70860124558551,846.6907113355569,apartments,1612,1.8,3178
144,中海大厦,深圳市南山区学府路55号,南山,南山,南山,514,113.917793,22.528216,OK,commodity_housing,4134,2001,41815.3,0.888,123.101941535957,0.0001137916124343,12.630868980213464,438.9367454482622,apartments,2608,1.0,2857
145,万科村,深圳市南山区南头街59号,南山,南山,南山,16,113.901912,22.53305,OK,urban_village,2706,2005,5093.23,1.086,33.307865633877725,0.0007723318766417,85.72883830722897,700.7194921853661,apartments,317,1.8,624
146,招商花园,深圳市南山区桂庙路159号,南山,南山,南山,35,113.915427,22.526443,OK,urban_village,8636,2007,11955.95,1.536,29.35483341445634,8.435883393633245e-05,9.3638305669329,231.85952418356675,apartments,745,1.8,1469
147,华侨城小区,深圳市南山区南新路117号,南山,南山,南山,77,113.901921,22.539386,OK,urban_village,9075,1997,19580.13,1.022,39.70145945225198,0.0008697896901065,96.54665560182406,1101.2093873068077,residential,1221,1.8,2407
148,花样年苑,深圳市南山区桂庙路143号,南山,南山,南山,39,113.907436,22.53814,OK,urban_village,3794,1996,10915.35,0.962,36.64532017550621,0.0001837708389224,20.39856312038644,396.9000243832502,apartments,680,1.8,1341
149,佳兆业园,深圳市南山区南头街84号,南山,南山,南山,332,113.919522,22.547004,OK,commodity_housing,5052,2003,30732.6,0.658,108.35145593562252,0.0011289877398179,125.31763911979763,173.37071310468625,apartments,1917,1.0,2100
150,龙光居,深圳市南山区前海路45号,南山,南山,南山,59,113.914999,22.528016,OK,urban_village,10619,2001,13461.5,1.23,44.33682814216502,0.0001427314998368,15.843196481885064,811.9211384727304,yes,839,1.8,1654
151,卓越新区,深圳市南山区前海路1号,南山,南山,南山,188,113.91842,22.535146,OK,commodity_housing,6957,1993,15579.34,0.87,121.15190597772708,0.00064565030325,71.66718366075868,762.4572624446037,apartments,971,1.0,1064
152,华联家园,深圳市南山区南头街120号,南山,南山,南山,463,113.917874,22.537903,OK,commodity_housing,5192,2003,39487.98,0.814,117.34583477097868,0.0008695652273182,96.52174023232232,727.5412325128952,apartments,2463,1.0,2698
153,天悦大厦,深圳市南山区桂庙路1号,南山,南山,南山,35,113.922413,22.517902,OK,urban_village,4339,2009,7236.82,0.919,48.41514230737404,0.0006174270584438,68.53440348727051,3175.925356823382,yes,451,1.8,888
154,龙瑞村,深圳市南山区桂庙路43号,南山,南山,南山,38,113.925161,22.536906,OK,urban_village,7578,2012,13530.47,0.625,28.70858002405222,0.0004440771359691,49.2925620925791,1690.2841032736835,yes,844,1.8,1664
155,阳光花园,深圳市南山区桂庙路52号,南山,南山,南山,46,113.925067,22.530775,OK,urban_village,9038,2001,16557.69,0.919,28.14353779516622,4.171889939051024e-05,4.630797832346636,14.15576239985554,yes,1033,1.8,2037
156,翠湖小区,深圳市南山区桂庙路86号,南山,南山,南山,73,113.916753,22.525738,OK,urban_village,9575,2007,20274.19,1.004,36.09375548261428,0.000597834814149,66.35966437054523,139.53496654999435,apartments,1264,1.8,2492
157,碧海苑,深圳市南山区学府路72号,南山,南山,南山,65,113.917515,22.544548,OK,urban_village,8657,2003,14806.47,1.119,44.21298411309478,0.000504300351497,55.97733901617799,1139.0748109574592,commercial,923,1.8,1820
158,金湾园,深圳市南山区南头街161号,南山,南山,南山,72,113.923701,22.51061,OK,urban_village,5524,2004,25122.62,0.809,28.98218613107013,0.0003353523296335,37.224108589327976,855.4012254875654,yes,1567,1.8,3090
159,银湖居,深圳市南山区南新路82号,南山,南山,南山,112,113.902028,22.540577,OK,urban_village,9514,2001,26952.54,0.947,41.68983463908962,0.0009987944628203,110.86618537306424,1089.1466167785914,apartments,1681,1.8,3314
160,玉泉新区,深圳市南山区南头街76号,南山,南山,南山,41,113.923023,22.525156,OK,urban_village,7850,2000,12347.63,0.989,33.20953069712703,0.0001455960001004,16.161156011154024,1829.3832807054944,yes,770,1.8,1518
161,宝安家园,深圳市南山区南新路194号,南山,南山,南山,45,113.908441,22.522109,OK,urban_village,11327,1998,11337.36,0.796,40.086214834534445,0.0007065320659559,78.4250593211051,774.4369532322664,apartments,707,1.8,1393
162,瑞景大厦,深圳市南山区南头街12号,南山,南山,南山,712,113.909864,22.5319,OK,commodity_housing,4863,1993,52052.7,1.185,136.96364018237105,0.0001542487326249,17.121609321372986,800.1529575023804,apartments,3247,1.0,3558
163,盛世村,深圳市南山区桂庙路151号,南山,南山,南山,93,113.924869,22.53933,OK,urban_village,11535,2012,24627.31,1.029,38.03085331213336,0.0008272544487418,91.82524381034074,308.35582125479766,yes,1536,1.8,3028
164,雅居花园,深圳市南山区桂庙路19号,南山,南山,南山,108,113.900105,22.538303,OK,urban_village,7643,2005,36161.71,0.97,29.928853164321936,0.0003782232561694,41.98278143481128,998.0187698311772,apartments,2256,1.8,4448
165,锦绣小区,深圳市南山区前海路158号,南山,南山,南山,506,113.926591,22.53636,OK,commodity_housing,3692,2011,49757.35,0.923,101.79153894092023,4.3080448008272686e-05,4.781929728918268,432.8016218179828,yes,3104,1.0,3401
166,绿景苑,深圳市南山区南新路39号,南山,南山,南山,183,113.916734,22.524137,OK,commodity_housing,4137,2003,14338.08,0.709,127.6782497775488,0.0006361414378708,70.61169960366895,372.4277375127441,apartments,894,1.0,979
167,振业园,深圳市南山区南头街172号,南山,南山,南山,792,113.902596,22.527544,OK,commodity_housing,7047,2000,58072.2,0.978,136.41947848426108,0.000266539490504,29.585883445947644,230.61454163209248,yes,3623,1.0,3970
168,金成居,深圳市南山区南头街15号,南山,南山,南山,85,113.931414,22.533753,OK,urban_village,8684,2004,27875.58,1.131,30.701994298723317,0.0016269059490086,180.58656033996317,194.56132329937597,apartments,1739,1.8,3429
169,星海新区,深圳市南山区前海路167号,南山,南山,南山,63,113.911068,22.524193,OK,urban_village,3472,2003,14024.25,0.919,45.56535796284196,0.0010328903043685,114.6508237849137,261.1680356960627,apartments,874,1.8,1723
170,金地家园,深圳市南山区前海路161号,南山,南山,南山,289,113.916959,22.528174,OK,commodity_housing,5040,2003,30045.13,0.692,96.46649093613894,0.000182101757264,20.213295056311704,604.0388758965275,apartments,1874,1.0,2053
171,华润大厦,深圳市南山区南头街2号,南山,南山,南山,243,113.918437,22.53206,OK,commodity_housing,3546,1998,20061.25,0.835,121.61334346303212,0.0001833078665701,20.347173189290224,373.7589228418352,apartments,1251,1.0,1370
172,中海村,深圳市南山区学府路24号,南山,南山,南山,405,113.915983,22.542979,OK,commodity_housing,5906,1999,31021.28,0.878,130.71617959790328,0.0007800889965283,86.58987861464605,239.91014427263005,yes,1935,1.0,2120
173,万科花园,深圳市南山区南头街136号,南山,南山,南山,265,113.919585,22.531654,OK,commodity_housing,7101,2005,21774.56,0.987,121.70255097322698,0.0005162885140203,57.30802505626079,2687.754447859818,apartments,1358,1.0,1488
174,招商小区,深圳市南山区桂庙路8号,南山,南山,南山,59,113.912932,22.535608,OK,urban_village,3107,2001,22197.68,0.968,26.74829014273585,0.0003969862691925,44.0654758803678,730.4425717813338,apartments,1384,1.8,2729
175,华侨城苑,深圳市南山区南头街35号,南山,南山,南山,540,113.928443,22.520203,OK,commodity_housing,2341,2001,42813.32,1.196,126.3287432894565,0.0003340589335656,37.080541625792456,2160.2662912291216,commercial,2671,1.0,2926
176,花样年园,深圳市南山区南头街55号,南山,南山,南山,343,113.916759,22.519841,OK,commodity_housing,2661,1996,37239.43,1.175,92.27120596503616,0.0001527589359062,16.9562418855965,2036.1833636101212,commercial,2323,1.0,2545
177,佳兆业居,深圳市南山区前海路65号,南山,南山,南山,52,113.915927,22.529525,OK,urban_village,9846,1992,10821.41,1.195,48.17502419810738,0.0003764931506132,41.79073971807424,1429.6759262956773,apartments,675,1.8,1331
178,龙光新区,深圳市南山区前海路142号,南山,南山,南山,651,113.924264,22.520402,OK,commodity_housing,6551,2000,47274.06,0.677,137.824734117677,0.0001763251374533,19.572090257319694,661.108956668098,apartments,2949,1.0,3231
179,卓越家园,深圳市南山区学府路150号,南山,南山,南山,47,113.921696,22.53337,OK,urban_village,4896,1999,11907.58,0.868,40.01485833401543,0.0013400353027057,148.74391860033288,208.6649783784272,yes,742,1.8,1462
180,华联大厦,深圳市南山区学府路158号,南山,南山,南山,65,113.896176,22.530416,OK,urban_village,10835,2001,14420.16,0.901,45.43624271227979,0.0006128449603257,68.02579059615968,2282.7117205112627,commercial,899,1.8,1773
181,天悦村,深圳市南山区学府路20号,南山,南山,南山,224,113.931754,22.516751,OK,commodity_housing,2072,2000,24771.45,0.614,90.76538047676218,0.000708399093295,78.63229935575515,1513.6815035556226,apartments,1545,1.0,1693
182,龙瑞花园,深圳市南山区南头街110号,南山,南山,南山,403,113.899603,22.52091,OK,commodity_housing,2792,2000,32926.43,0.913,122.44596611033629,0.0009906465585096,109.9617679945664,12243.39734304178,yes,2054,1.0,2250
183,阳光小区,深圳市南山区前海路25号,南山,南山,南山,483,113.932643,22.519115,OK,commodity_housing,3048,1991,42647.96,0.673,113.47638161336504,0.0009881505023358,109.68470575927392,4582.547317192687,apartments,2660,1.0,2914
184,翠湖苑,深圳市南山区南新路60号,南山,南山,南山,351,113.918192,22.531749,OK,commodity_housing,6223,2002,30489.89,0.787,115.42993039881708,2.6190653073742168e-05,2.907162491185381,321.1692530283348,apartments,1902,1.0,2084
185,碧海园,深圳市南山区学府路178号,南山,南山,南山,49,113.918004,22.529994,OK,urban_village,9010,2008,16358.05,0.715,30.29388376663696,0.000307564999331,34.13971492575139,1575.8309914720994,apartments,1020,1.8,2011
186,金湾居,深圳市南山区学府路7号,南山,南山,南山,24,113.932294,22.53543,OK,urban_village,7478,2007,7584.81,0.673,32.58187868918989,0.0008191524701487,90.9259241865089,545.1729027402611,yes,473,1.8,932
187,银湖新区,深圳市南山区前海路166号,南山,南山,南山,494,113.917513,22.528719,OK,commodity_housing,4148,1997,39991.41,0.784,123.6727085404147,0.0002645598941169,29.36614824698207,550.0440568806213,apartments,2495,1.0,2734
188,玉泉家园,深圳市南山区桂庙路86号,南山,南山,南山,490,113.915429,22.531288,OK,commodity_housing,7693,2005,42011.94,0.813,116.7853235378048,0.0001719608529642,19.087654679036227,300.526947360822,apartments,2621,1.0,2872
189,宝安大厦,深圳市南山区南头街13号,南山,南山,南山,558,113.923328,22.528768,OK,commodity_housing,4708,2000,47535.07,0.682,117.47170920168142,0.0003193426263273,35.44703152234044,2467.50851744912,commercial,2965,1.0,3249
190,瑞景村,深圳市南山区学府路191号,南山,南山,南山,11,113.923291,22.530404,OK,urban_village,4785,2002,3650.18,0.823,31.64627841635784,0.0003632358256184,40.31917664364492,194.81095667043127,apartments,227,1.8,447
191,盛世花园,深圳市南山区南新路21号,南山,南山,南山,86,113.912148,22.530024,OK,urban_village,7119,1997,24932.72,1.073,34.861906964250885,0.0002365955552457,26.262106632280105,734.1971811219191,apartments,1555,1.8,3067
192,雅居小区,深圳市南山区桂庙路97号,南山,南山,南山,577,113.920819,22.529204,OK,commodity_housing,2016,2002,42251.99,1.166,136.62184231454296,0.0002065430039988,22.92627344387485,424.435603456533,residential,2636,1.0,2888
193,锦绣苑,深圳市南山区南头街188号,南山,南山,南山,526,113.918457,22.529289,OK,commodity_housing,6854,2004,42286.4,1.137,124.56687775170452,9.46902676268669e-05,10.510619706582226,719.4606998749197,apartments,2638,1.0,2890
194,绿景园,深圳市南山区学府路129号,南山,南山,南山,60,113.899513,22.535927,OK,urban_village,9483,2004,22170.69,0.814,27.11980040114508,0.0003915346080043,43.46034148847823,819.486339549435,commercial,1383,1.8,2727
195,振业居,深圳市南山区学府路135号,南山,南山,南山,275,113.91941,22.530686,OK,commodity_housing,6327,2002,26369.07,0.778,104.47922608220946,0.0006732549054052,74.73129449998626,2687.754447859818,apartments,1645,1.0,1802
196,金成新区,深圳市南山区南新路38号,南山,南山,南山,310,113.919647,22.522369,OK,commodity_housing,7380,2000,36580.03,1.098,84.80989827627874,0.0001707658977832,18.95501465393832,710.7905715989501,apartments,2282,1.0,2500
197,星海家园,深圳市南山区南头街169号,南山,南山,南山,45,113.927831,22.535617,OK,urban_village,4776,2006,11223.57,0.673,40.37532420097166,0.000848918446681,94.22994758159965,454.6574512292962,yes,700,1.8,1380
198,金地大厦,深圳市南山区桂庙路181号,南山,南山,南山,24,113.928188,22.527372,OK,urban_village,10961,1999,8976.65,0.885,27.84891586785793,0.000388220684142,43.09249593976268,166.1845315463468,yes,560,1.8,1104
199,华润村,深圳市南山区学府路78号,南山,南山,南山,119,113.92805,22.524499,OK,commodity_housing,6878,1998,13762.01,0.959,86.65081892946132,0.0004051940068356,44.97653475875303,818.5057479306506,apartments,858,1.0,940
200,中海花园,深圳市南山区南头街120号,南山,南山,南山,192,113.905481,22.535011,OK,commodity_housing,6083,2003,20516.02,0.862,93.8229342901956,0.0006317435309964,70.12353194061087,1462.1461960172358,apartments,1279,1.0,1401
201,万科村,深圳市南山区兴华路86号,南山,蛇口,蛇口,1095,113.920767,22.4872,OK,high_end,8665,2002,42237.76,1.496,259.273601574242,0.0001466816813095,16.2816666253622,760.9385095377727,yes,2635,0.7,2020
202,招商苑,深圳市南山区太子路95号,南山,蛇口,蛇口,151,113.904135,22.481268,OK,commodity_housing,5037,2005,17556.06,1.428,86.43096213970313,0.0009672565835584,107.36548077498622,438.7817228786098,house,1095,1.0,1199
